flight_number,origin_airport,destination_airport,airline
699,GEG,SEA,AS
130,RSW,JFK,B6
154,PBI,JFK,B6
353,JFK,PBI,B6
226,TPA,JFK,B6
272,FLL,LGA,B6
447,OAK,LGB,B6
371,LGA,FLL,B6
583,JFK,MCO,B6
605,EWR,FLL,B6
525,JFK,TPA,B6
746,PSE,JFK,B6
776,MSY,JFK,B6
794,AUS,JFK,B6
838,BQN,JFK,B6
892,TPA,BOS,B6
1678,JAX,JFK,B6
1790,DCA,BOS,B6
421,JFK,ATL,DL
731,LGA,DTW,DL
743,RNO,SLC,DL
750,BOS,JFK,DL
809,BOS,MSP,DL
904,LGA,ATL,DL
977,ORD,ATL,DL
1088,ANC,MSP,DL
1098,ATW,ATL,DL
1205,PHX,ATL,DL
1234,PNS,ATL,DL
1235,MCO,SLC,DL
1462,ONT,DFW,AA
913,DCA,MIA,AA
1961,RIC,ATL,DL
2154,LAX,ATL,DL
2282,BOS,ATL,DL
2417,LAS,DTW,DL
1540,OKC,ATL,DL
1574,MCO,MSP,DL
1700,MEM,ATL,DL
1867,TUL,ATL,DL
1937,BWI,DTW,DL
159,BOS,PHL,B6
198,MCO,LGA,B6
1502,FLL,JFK,B6
1504,SJU,JFK,B6
1600,BOS,DCA,B6
2533,TYS,DFW,EV
4213,MHT,ORD,EV
4431,SAV,EWR,EV
4411,MEM,EWR,EV
4756,CLT,ORD,EV
4768,TYS,IAD,EV
4740,GRB,ORD,EV
5103,ABE,DTW,EV
5275,JAN,ATL,EV
5491,OAJ,ATL,EV
5978,FAR,ORD,EV
5917,JAN,ORD,EV
6133,ERI,ORD,EV
6082,ATW,ORD,EV
6122,LEX,ORD,EV
6143,CWA,ORD,EV
865,MSO,DEN,F9
1256,ORD,MIA,F9
1104,CLE,FLL,F9
1057,IAH,SFO,F9
144,SEA,DEN,F9
1056,SFO,IAH,F9
901,TTN,ATL,F9
902,ATL,TTN,F9
202,HNL,ITO,HA
2898,MAF,DFW,MQ
2957,AMA,DFW,MQ
2962,CLL,DFW,MQ
3014,HOU,DFW,MQ
3015,DFW,BTR,MQ
3079,JLN,DFW,MQ
3189,CID,DFW,MQ
3302,MLI,DFW,MQ
3338,GSP,DFW,MQ
3350,RDU,JFK,MQ
3355,CVG,MIA,MQ
3251,MHK,DFW,MQ
3377,MOB,DFW,MQ
3441,TLH,DFW,MQ
3540,PNS,MIA,MQ
3488,BHM,MIA,MQ
3597,CVG,DFW,MQ
3611,CAE,DFW,MQ
3678,TXK,DFW,MQ
188,OAK,LAS,NK
925,DFW,OAK,NK
943,ACY,RSW,NK
316,DTW,LGA,NK
972,DFW,FLL,NK
2622,SMF,LAX,OO
6360,RAP,DEN,OO
6369,TUS,SFO,OO
5330,EAU,ORD,OO
5292,DLH,ORD,OO
6276,FSD,ORD,OO
6235,AUS,SFO,OO
3489,FAT,SEA,OO
3461,ONT,PDX,OO
7423,INL,BRD,OO
5318,CMX,ORD,OO
5445,SMF,SFO,OO
5242,BOI,LAX,OO
5462,SPI,ORD,OO
5466,CLD,LAX,OO
5550,COD,DEN,OO
5574,FAT,SFO,OO
3221,CMH,MIA,MQ
3224,LRD,DFW,MQ
5522,PSC,DEN,OO
5592,CPR,DEN,OO
5604,ACV,SFO,OO
5170,DAL,IAH,OO
5429,PAH,ORD,OO
5435,PSC,SFO,OO
6378,CID,ORD,OO
6401,EUG,SFO,OO
6332,DFW,DEN,OO
6346,MRY,SFO,OO
6465,SLC,LAX,OO
7392,ESC,DTW,OO
6403,MFR,SFO,OO
6497,FAT,DEN,OO
576,SFO,EWR,UA
1410,LAS,IAH,UA
1689,EWR,SFO,UA
6020,ISN,DEN,EV
113,HNL,LIH,HA
5629,PSP,SFO,OO
6420,PSP,DEN,OO
223,SAT,IAH,UA
996,LAX,EWR,UA
1721,LAX,SFO,UA
4390,CLE,IAD,EV
5732,CAE,IAD,EV
756,PHX,DEN,F9
234,SMF,IAH,UA
415,JFK,SFO,UA
647,BOS,PHX,US
829,BOS,CLT,US
1743,DTW,MIA,US
1023,FLL,EWR,UA
2505,GEG,DEN,WN
239,SAT,STL,WN
474,ONT,DEN,WN
1245,CLE,EWR,UA
560,DFW,PHX,US
310,MFE,DFW,AA
375,STL,DFW,AA
378,SJU,MIA,AA
1291,MKE,DFW,AA
320,SEA,SFO,AS
602,SEA,LAS,AS
233,BTV,JFK,B6
601,JFK,FLL,B6
735,SFO,LGB,B6
922,PBI,BOS,B6
1184,MCO,JFK,B6
1434,SJU,MCO,B6
1065,BDL,ATL,DL
1456,RDU,ATL,DL
1723,SFO,SLC,DL
4642,TUS,IAH,EV
4928,PIA,ATL,EV
609,IND,DEN,F9
821,MCI,DEN,F9
133,DFW,DEN,F9
2881,FSM,DFW,MQ
2771,AEX,DFW,MQ
3288,SPS,DFW,MQ
3328,ACT,DFW,MQ
3408,SJT,DFW,MQ
3643,JAN,DFW,MQ
286,HNL,OGG,HA
5181,OKC,LAX,OO
6499,FAR,DEN,OO
1160,SFO,IAH,UA
1601,EWR,FLL,UA
6461,MTJ,DEN,OO
606,RSW,DTW,NK
7389,GCC,RKS,OO
220,MSY,EWR,UA
654,ORD,MCO,UA
6119,RIC,ORD,EV
5456,RDM,SFO,OO
205,OGG,HNL,HA
4494,SJC,SLC,OO
5370,ORD,MBS,OO
1709,EWR,CLT,US
828,PHX,BWI,WN
1632,SEA,IAD,UA
1725,LAS,SFO,UA
168,DFW,MIA,AA
1315,BNA,DFW,AA
1336,PHX,DFW,AA
1619,BOS,MIA,AA
1686,LAX,STL,AA
345,OAK,SEA,AS
454,SEA,LAX,AS
57,BOS,IAD,B6
24,LAX,JFK,B6
1279,DCA,FLL,B6
1836,DTW,BOS,B6
1361,BNA,LAX,AA
327,PHL,ATL,DL
1492,PHX,MSP,DL
1554,SJU,FLL,B6
4556,VPS,IAH,EV
6071,GUC,DEN,EV
1252,MIA,LGA,F9
3323,RIC,MIA,MQ
3601,DTW,LGA,MQ
3551,ORF,MIA,MQ
5572,MOT,DEN,OO
1312,STL,MIA,AA
269,BOS,FLL,B6
4506,MLU,IAH,EV
5337,MAF,DEN,OO
562,LAX,LAS,NK
416,PDX,ORD,UA
1403,JFK,SJU,B6
107,KOA,HNL,HA
4681,EUG,SLC,OO
1754,RNO,PHX,US
1789,PHX,CLT,US
1966,CMH,ATL,WN
2351,HOU,ATL,WN
137,HOU,PHX,WN
1125,DTW,DFW,AA
1165,BOS,JFK,AA
1581,DFW,DCA,AA
2253,MSP,DFW,AA
504,SEA,SNA,AS
99,BDL,DCA,B6
962,SJU,BOS,B6
2006,FLL,EWR,B6
828,MOB,ATL,DL
978,SAN,SLC,DL
985,LAS,SLC,DL
1275,DCA,DTW,DL
2384,SMF,SLC,DL
1610,DEN,DTW,DL
1866,SFO,ATL,DL
1919,LGA,MSP,DL
2522,LAW,DFW,EV
2512,BRO,DFW,EV
2572,PIB,MEI,EV
4531,CHS,IAH,EV
4655,MEM,IAH,EV
5123,MGM,ATL,EV
582,SLC,DEN,F9
439,OMA,DEN,F9
2958,FAR,DFW,MQ
3432,DCA,JFK,MQ
3613,MSN,DFW,MQ
3568,CMH,LGA,MQ
5348,SBP,LAX,OO
5256,COS,IAH,OO
4747,OAK,SLC,OO
